song_title,artist
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Hurts to Love You,Nick Carter
Heart Like A Truck,Lainey Wilson
Made You Look,Meghan Trainor
Son Of A Sinner,Jelly Roll
wait in the truck,HARDY & Lainey Wilson
Temperature,Sean Paul
Thought You Should Know,Morgan Wallen
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
I Ain't Worried,OneRepublic
Bloody Mary,Lady Gaga
I'm Good (Blue),David Guetta & Bebe Rexha
Unstoppable,Sia
Thank God,Kane Brown & Katelyn Brown
Something in the Orange (Z&E's Version),Zach Bryan
People Get Ready,Jeff Beck & Rod Stewart
Rock and a Hard Place,Bailey Zimmerman
As It Was,Harry Styles
I Ain't a Bitch,Alaura Lynne
Hold My Hand,Lady Gaga
You Proof,Morgan Wallen
Calm Down,Rema & Selena Gomez
Players,Coi Leray
The Oath,"Chinx, DJ Drama & French Montana"
New Punani,"French Montana, DJ Drama & Cheeze"
Forever,"French Montana, DJ Drama & Mr.Chicken"
RZA,"French Montana, DJ Drama & Benny the Butcher"
Igloo,"French Montana, DJ Drama & Rob49"
Free Smoke (feat. BIG30),"French Montana, DJ Drama & EST Gee"
Choose You,"French Montana, DJ Drama & Jeremih"
Addicted to You,"French Montana, DJ Drama & Cheeze"
Intro (feat. Cheeze),"French Montana, Stove God Cooks & DJ Drama"
Can't Stop Won't Stop (Remix) [feat. Kodak Black],"King Combs, French Montana & DJ Drama"
Not So Bad,French Montana & DJ Drama
Trench,FETISH
Chit Chat (feat. DJ Drama),"French Montana, Smooky MarGielaa & A$AP Rocky"
Project Baby (Remix),"Vory, DJ Drama & French Montana"
One Thing At A Time,Morgan Wallen
Mine,Bazzi
"Going, Going, Gone",Luke Combs
Cooler Than Me (Single Mix),Mike Posner
golden hour,JVKE
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Wasted On You,Morgan Wallen
Hold Me Closer,Elton John & Britney Spears
Fall In Love,Bailey Zimmerman
The Kind of Love We Make,Luke Combs
Ghost,Tom MacDonald
I'm Good (Blue),David Guetta & Bebe Rexha
What My World Spins Around,Jordan Davis
Kill Bill,SZA
CUFF IT,Beyoncé
Gratitude,Brandon Lake
Bebe Dame,Fuerza Regida & Grupo Frontera
Que Vuelvas,Carin Leon & Grupo Frontera
Under the Influence,Chris Brown
Going Yeezy,"French Montana, DJ Drama & Cheeze"
NEED A FAVOR,Jelly Roll
Tennessee Whiskey,Chris Stapleton
Tishomingo,Zach Bryan
Daydream,Lily Meola
About Damn Time,Lizzo
Die For You,The Weeknd
No Horse To Ride,Luke Grimes
Wreckage,Nate Smith
Freeway Jam,Jeff Beck
Shivers,Ed Sheeran
She Had Me At Heads Carolina,Cole Swindell
Watermelon Moonshine,Lainey Wilson
Victoria’s Secret,Jax
Yes I Do,French Montana
Forget Me,Lewis Capaldi
How Do I Say Goodbye,Dean Lewis
Tennessee Orange,Megan Moroney
Something in the Orange,Zach Bryan
Build a Boat,Colton Dixon
Goodness of God (Live),CeCe Winans
Goo Goo Muck,The Cramps
Just Wanna Rock,Lil Uzi Vert
Sure Thing,Miguel
Until I Found You,Stephen Sanchez
Just Pretend,Bad Omens
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Sober,P!nk
Chasin' You,Morgan Wallen
Giddy Up!,Shania Twain
Run Away to Mars,TALK
Million Dollar Baby,Ava Max
It's a Beautiful Day (Reprise),The Kiffness & Rushawn
Cause We've Ended As Lovers,Jeff Beck
Escapism.,RAYE & 070 Shake
I'm a Believer,The Monkees
I'll Be Waiting,Cian Ducrot
Cry to Me (Single Version),Solomon Burke
Bad Habit,Steve Lacy
Fenty,French Montana & NAV
Yes I Do,French Montana
